number, region_area, filename
4678, 115.46, 6594_1.7_normal.png
9805, 57.6, 6594_1.9_normal.png
125, 4298.61, 6616_1.1_normal.png
604, 871.32, 6616_1.3_normal.png
1756, 302.94, 6616_1.5_normal.png
5007, 108.92, 6616_1.7_normal.png
9183, 64.04, 6616_1.9_normal.png
120, 4428.22, 7036_1.1_normal.png
586, 927.29, 7036_1.3_normal.png
2180, 241.27, 7036_1.5_normal.png
4544, 131.12, 7036_1.7_normal.png
9307, 65.25, 7036_1.9_normal.png
60, 8675.92, 7044_1.1_normal.png
280, 1857.53, 7044_1.3_normal.png
978, 535.1, 7044_1.5_normal.png
3642, 149.92, 7044_1.7_normal.png
9625, 58.01, 7044_1.9_normal.png
83, 6312.07, 7107_1.1_normal.png
399, 1330.52, 7107_1.3_normal.png
1373, 403.69, 7107_1.5_normal.png
3933, 149.68, 7107_1.7_normal.png
7454, 87.09, 7107_1.9_normal.png
43, 12689.91, 7375_1.1_normal.png
255, 2149.69, 7375_1.3_normal.png
1106, 499.64, 7375_1.5_normal.png
4451, 122.75, 7375_1.7_normal.png
9836, 56.59, 7375_1.9_normal.png
56, 9328.68, 7385_1.1_normal.png
350, 1490.76, 7385_1.3_normal.png
994, 539.35, 7385_1.5_normal.png
3026, 188.93, 7385_1.7_normal.png
7882, 75.77, 7385_1.9_normal.png
87, 6054.93, 7545_1.1_normal.png
334, 1568.1, 7545_1.3_normal.png
1221, 437.02, 7545_1.5_normal.png
3716, 149.02, 7545_1.7_normal.png
9209, 63.24, 7545_1.9_normal.png
189, 2846.47, 755_1.1_normal.png
651, 851.42, 755_1.3_normal.png
2333, 229.5, 755_1.5_normal.png
6025, 86.18, 755_1.7_normal.png
10639, 51.76, 755_1.9_normal.png
172, 3050.79, 7844_1.1_normal.png
626, 852.85, 7844_1.3_normal.png
2093, 262.33, 7844_1.5_normal.png
5170, 111.79, 7844_1.7_normal.png
9107, 66.31, 7844_1.9_normal.png
244, 2122.83, 7947_1.1_normal.png
767, 685.85, 7947_1.3_normal.png
2135, 254.07, 7947_1.5_normal.png
5803, 95.48, 7947_1.7_normal.png
10058, 57.05, 7947_1.9_normal.png
227, 2360.57, 8049_1.1_normal.png
724, 745.33, 8049_1.3_normal.png
1894, 290.07, 8049_1.5_normal.png
4728, 123.37, 8049_1.7_normal.png
8336, 75.89, 8049_1.9_normal.png
124, 4192.62, 8077_1.1_normal.png
421, 1253.71, 8077_1.3_normal.png
1488, 349.81, 8077_1.5_normal.png
4631, 113.7, 8077_1.7_normal.png
9569, 59.54, 8077_1.9_normal.png
66, 7886.72, 8082_1.1_normal.png
301, 1747.92, 8082_1.3_normal.png
1281, 420.83, 8082_1.5_normal.png
4021, 139.02, 8082_1.7_normal.png
9046, 65.32, 8082_1.9_normal.png
116, 4488.66, 8116_1.1_normal.png
470, 1141.06, 8116_1.3_normal.png
1491, 362.26, 8116_1.5_normal.png
3162, 199.78, 8116_1.7_normal.png
7206, 91.44, 8116_1.9_normal.png
106, 4962.82, 8365_1.1_normal.png
293, 1802.38, 8365_1.3_normal.png
1197, 439.51, 8365_1.5_normal.png
3649, 148.85, 8365_1.7_normal.png
7889, 75.09, 8365_1.9_normal.png
106, 4932.98, 8496_1.1_normal.png
522, 1025.79, 8496_1.3_normal.png
2110, 247.01, 8496_1.5_normal.png
4778, 112.2, 8496_1.7_normal.png
9234, 65.02, 8496_1.9_normal.png
60, 8720.34, 8763_1.1_normal.png
305, 1729.3, 8763_1.3_normal.png
1646, 320.7, 8763_1.5_normal.png
4729, 115.5, 8763_1.7_normal.png
10368, 52.85, 8763_1.9_normal.png
93, 5607.33, 8820_1.1_normal.png
417, 1253.02, 8820_1.3_normal.png
1455, 358.64, 8820_1.5_normal.png
4540, 117.85, 8820_1.7_normal.png
9577, 60.0, 8820_1.9_normal.png
123, 4238.8, 8860_1.1_normal.png
453, 1155.83, 8860_1.3_normal.png
1681, 310.16, 8860_1.5_normal.png
4225, 127.59, 8860_1.7_normal.png
9608, 57.16, 8860_1.9_normal.png
118, 4436.11, 8901_1.1_normal.png
492, 1073.25, 8901_1.3_normal.png
1705, 322.51, 8901_1.5_normal.png
4390, 132.39, 8901_1.7_normal.png
8045, 80.29, 8901_1.9_normal.png
75, 7562.53, 8936_1.1_normal.png
414, 1373.09, 8936_1.3_normal.png
1374, 424.11, 8936_1.5_normal.png
3569, 168.4, 8936_1.7_normal.png
7738, 80.33, 8936_1.9_normal.png
158, 3446.82, 8991_1.1_normal.png
727, 745.31, 8991_1.3_normal.png
2213, 245.52, 8991_1.5_normal.png
5778, 94.74, 8991_1.7_normal.png
9685, 61.77, 8991_1.9_normal.png
122, 4530.58, 9009_1.1_normal.png
462, 1224.72, 9009_1.3_normal.png
1761, 312.82, 9009_1.5_normal.png
4771, 117.79, 9009_1.7_normal.png
10092, 55.14, 9009_1.9_normal.png
152, 3456.01, 9228_1.1_normal.png
612, 872.93, 9228_1.3_normal.png
1907, 285.25, 9228_1.5_normal.png
5136, 108.14, 9228_1.7_normal.png
9607, 61.68, 9228_1.9_normal.png
68, 7690.42, 9243_1.1_normal.png
269, 1982.86, 9243_1.3_normal.png
1048, 507.1, 9243_1.5_normal.png
3882, 139.32, 9243_1.7_normal.png
9368, 59.04, 9243_1.9_normal.png
85, 6153.15, 9484_1.1_normal.png
441, 1185.14, 9484_1.3_normal.png
1480, 358.84, 9484_1.5_normal.png
3632, 160.05, 9484_1.7_normal.png
9115, 61.19, 9484_1.9_normal.png
138, 3846.1, 9485_1.1_normal.png
584, 913.85, 9485_1.3_normal.png
1858, 283.37, 9485_1.5_normal.png
4253, 136.4, 9485_1.7_normal.png
7932, 77.39, 9485_1.9_normal.png
87, 6008.41, 9644_1.1_normal.png
537, 983.24, 9644_1.3_normal.png
1593, 344.85, 9644_1.5_normal.png
4608, 123.44, 9644_1.7_normal.png
8394, 75.27, 9644_1.9_normal.png
121, 4334.02, 9753_1.1_normal.png
585, 902.12, 9753_1.3_normal.png
1821, 289.27, 9753_1.5_normal.png
4742, 114.55, 9753_1.7_normal.png
